player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Chen Zifan,Farakh Ajaib,5,1168,1046,0.6397196107539715,0.5756643510425494,147,62,840,368,97,42,509,230,78,31,357,153,53,14,224,92,3,0,0.0,1.0,4494
Anthony McGill,Jianbo Zhao,5,1449,1189,0.7756138085243847,0.6570104626734989,654,389,4279,2326,34,14,180,88,196,102,872,459,77,39,180,88,1,3,1.0,0.25,4494
Cao Yupeng,Zhao Xintong,5,1447,1420,0.5316046253622031,0.5168685956913849,273,143,1889,967,288,162,1838,1004,33,22,33,22,152,77,669,372,3,2,0.0,0.6,4494
Tom Ford,Zhou Yuelong,5,1431,1471,0.45324189517173374,0.47502081252106,798,454,5430,2898,356,210,2252,1219,208,113,852,452,181,101,742,416,2,3,1.0,0.4,4494
Wu Yize,Fraser Patrick,5,1083,1194,0.3723786733374611,0.4310667906304534,21,6,148,63,259,104,1627,744,0,0,148,63,101,49,286,128,3,0,0.0,1.0,4494
Fergal O'Brien,Gary Wilson,5,1248,1368,0.3624692501874668,0.42555748318834097,974,539,7191,3753,569,330,3690,1991,113,54,444,208,159,73,871,466,0,3,1.0,0.0,4494
Tian Pengfei,Mark Williams,5,1416,1551,0.3461767977660961,0.41641688448272474,479,268,3165,1686,1642,1074,12017,6889,83,41,480,255,354,199,1041,579,0,3,1.0,0.0,4494
Akani Songsermsawad,Robbie Williams,5,1363,1323,0.5467581048282661,0.52497918747894,187,99,1235,630,456,240,2959,1505,87,48,412,214,84,40,495,251,1,3,1.0,0.25,4494
Aaron Hill,Jimmy White,5,1077,1206,0.35265890728751514,0.4200665998114942,32,12,178,75,1509,823,12680,6594,55,23,178,75,79,36,366,149,0,3,1.0,0.0,4494
Liang Wenbo,Simon Lichtenberg,5,1427,1189,0.7562477136185467,0.6445115537062945,722,430,5010,2742,98,39,532,239,107,55,643,343,78,41,341,156,3,1,0.0,0.75,4494
Lee Walker,Sanderson Lam,5,1230,1101,0.6473410927124849,0.5799334001885058,550,285,4084,2069,189,71,1127,485,70,29,356,150,72,41,167,74,3,1,0.0,0.75,4494
Ricky Walden,James Cahill,5,1457,1243,0.7340441511188396,0.6306485256510744,1000,593,6821,3745,254,105,1573,725,153,87,682,368,135,67,486,233,3,2,0.0,0.6,4494
Jamie Jones,Hossein Vafaei,5,1434,1357,0.5894061198759757,0.5479769376367964,563,339,3710,2017,193,107,1377,700,131,73,288,164,86,40,489,250,1,3,1.0,0.25,4494
Judd Trump,Mitchell Mann,5,1645,1218,0.8901871339973462,0.7441211943032843,1224,866,8277,4980,321,146,1974,938,316,201,1769,1117,145,78,367,162,3,2,0.0,0.6,4494
Alfie Burden,Allan Taylor,5,1276,1229,0.5548886735914912,0.5293412500457857,737,391,5284,2703,374,175,2175,1051,35,24,293,142,62,26,305,149,1,3,1.0,0.25,4494
Elliot Slessor,Peter Devlin,5,1326,1132,0.7147219959028013,0.6189278548001903,264,124,1608,774,85,40,413,194,83,40,474,241,59,25,230,111,3,1,0.0,0.75,4494
Xu Si,Fan Zhengyi,5,1254,1101,0.6729712107074448,0.5944759307482401,115,42,732,320,77,20,453,166,50,23,332,152,61,25,317,127,3,2,0.0,0.6,4494
Matthew Selt,Thepchaiya Un-Nooh,5,1419,1357,0.5722224657465222,0.538672605206508,708,384,4655,2433,461,270,3204,1701,183,100,711,371,117,56,721,389,3,2,0.0,0.6,4494
Shaun Murphy,Mark Selby,5,1563,1619,0.4346949935826374,0.4650570548417855,1223,803,8873,5045,1369,941,9802,5724,269,157,1051,595,338,188,1557,900,2,3,1.0,0.4,4494
Sean Maddocks,Noppon Saengkham,5,945,1384,0.10373576797377759,0.2502086121129852,43,11,202,73,334,166,2307,1145,50,7,151,48,74,39,526,276,0,3,1.0,0.0,4494
Mark Joyce,Jimmy Robertson,5,1311,1361,0.44163424081696834,0.4687906266262437,561,293,3931,1984,614,331,4030,2092,116,56,467,224,97,53,587,298,0,3,1.0,0.0,4494
Barry Pinches,Jack Lisowski,5,1184,1456,0.2142332425325124,0.3362613025956473,813,416,6114,3155,640,391,4138,2264,91,39,362,165,273,136,1052,562,3,2,0.0,0.6,4494
Andrew Pagett,Michael Judge,5,1185,1295,0.3734855588405639,0.4316800165217519,279,129,1799,875,504,293,4003,2148,12,5,110,60,56,37,111,63,3,1,0.0,0.75,4494
Gerard Greene,Martin O'Donnell,5,1255,1369,0.36906491624238447,0.42922838810550823,791,413,5739,2954,429,217,2637,1337,89,39,401,178,96,55,490,248,2,3,1.0,0.4,4494
Joe O'Connor,Steven Hallworth,5,1343,1269,0.5859830640468522,0.5461185410457796,182,86,1130,554,158,73,877,418,106,55,487,247,97,47,256,130,3,2,0.0,0.6,4494
Lu Ning,Igor Figueiredo,5,1382,1242,0.6591879268201005,0.5866175789173301,193,94,1243,616,151,70,1049,485,115,55,554,292,93,44,286,121,3,1,0.0,0.75,4494
Ross Muir,Ryan Day,5,1234,1421,0.2922088131792804,0.3852081305077805,210,81,1355,614,1153,688,7661,4196,77,47,227,118,153,86,675,343,3,2,0.0,0.6,4494
Ben Woollaston,Hammad Miah,5,1385,1207,0.6987569478302971,0.6094497836283252,730,414,4615,2453,213,83,1378,618,96,52,600,319,74,44,313,143,2,3,1.0,0.4,4494
Stephen Maguire,Jackson Page,5,1367,1261,0.622075640573307,0.5658650028954817,1095,713,8010,4516,107,51,646,311,101,49,844,440,91,49,362,168,3,0,0.0,1.0,4494
Oliver Lines,Si Jiahui,5,1306,1253,0.5618379649527969,0.5330766223661046,289,137,1740,852,71,34,380,203,100,54,400,191,130,73,374,201,3,0,0.0,1.0,4494
David Lilley,Craig Steadman,5,1256,1313,0.4335405096826472,0.4644351620161461,174,91,1006,520,527,282,3386,1763,137,74,387,186,62,36,355,181,3,1,0.0,0.75,4494
Bai Langning,Ashley Carty,5,1189,1243,0.4370057667393497,0.4663011645670992,41,14,257,114,214,102,1242,611,129,71,231,108,69,28,393,172,3,0,0.0,1.0,4494
Yan Bingtao,Lukas Kleckers,5,1507,1152,0.8478205813376439,0.708373991032327,276,178,1948,1087,137,51,776,333,172,98,868,483,59,21,286,122,2,3,1.0,0.4,4494
Mark King,Jamie Wilson,5,1310,1051,0.7747545345830869,0.6564468724566059,1061,584,7625,4001,36,14,160,67,72,33,499,240,71,30,160,67,3,1,0.0,0.75,4494
Pang Junxu,Jamie Clarke,5,1290,1347,0.4335405096826472,0.4644351620161461,55,27,335,160,245,122,1441,725,111,65,283,143,110,56,475,230,3,0,0.0,1.0,4494
Nigel Bond,Duane Jones,5,1246,1250,0.49531261718457054,0.49750002083312506,949,508,7317,3790,252,117,1507,736,84,42,414,186,174,96,447,211,1,3,1.0,0.25,4494
Lyu Haotian,Jak Jones,5,1323,1292,0.536273657850826,0.5193653082299319,225,108,1484,714,283,124,1770,800,97,47,516,261,114,56,480,226,2,3,1.0,0.4,4494
Peter Lines,Zhang Jiankang,5,1251,1060,0.7117620683399959,0.6171573626529723,869,457,6145,3157,45,12,259,94,119,60,413,194,12,6,139,50,1,3,1.0,0.25,4494
Ashley Hugill,Kyren Wilson,5,1230,1514,0.2043751254964452,0.3295988401911314,176,77,974,459,801,504,5165,2887,75,33,286,136,439,231,1612,914,3,2,0.0,0.6,4494
Stuart Carrington,Liam Highfield,5,1415,1349,0.5768208908002201,0.5411566681502281,436,239,2771,1460,442,235,2970,1553,137,84,455,240,116,59,467,230,0,3,1.0,0.0,4494
Alexander Ursenbacher,John Higgins,5,1393,1626,0.24828689598507103,0.35835754679843657,212,101,1283,616,1652,1168,12966,7664,117,64,529,273,303,185,1341,786,1,3,1.0,0.25,4494
Chang Bingyu,Andy Hicks,5,1271,1209,0.572222465746522,0.5386726052065081,62,26,395,184,693,370,5372,2770,100,50,317,152,67,29,355,165,1,3,1.0,0.25,4494
Stephen Hendry,Chris Wakelin,5,1380,1308,0.5836970593034508,0.5448788923735801,1273,896,11743,6899,280,143,1839,932,21,8,21,8,122,57,458,223,3,2,0.0,0.6,4494
Louis Heathcote,Yuan Sijun,5,1263,1368,0.3790368287562745,0.4347492524329001,119,55,629,311,164,79,1061,521,103,54,394,197,92,54,475,249,3,2,0.0,0.6,4494
Li Hang,Sam Craigie,5,1358,1440,0.4049053248517203,0.448928730692658,375,196,2587,1336,266,140,1562,818,85,34,570,298,142,80,481,260,3,0,0.0,1.0,4494
Ben Hancorn,Joe Perry,5,1110,1412,0.1901468760534452,0.3197328033013515,81,37,395,192,1267,747,8781,4769,75,30,205,98,216,112,1007,545,3,2,0.0,0.6,4494
Iulian Boiko,Anthony Hamilton,5,985,1333,0.15685847093790894,0.29525430200190894,42,9,202,68,960,547,7124,3770,65,22,170,58,83,41,458,223,2,3,1.0,0.4,4494
David Grace,Mark Lloyd,5,1312,1044,0.7824150300650421,0.6615031592029524,408,190,2643,1285,21,9,101,48,63,27,435,217,78,42,101,48,3,2,0.0,0.6,4494
Martin Gould,Graeme Dott,5,1415,1424,0.4894544596699453,0.4943752372926745,809,484,5356,2926,1071,627,7785,4196,121,60,640,341,185,92,951,533,3,1,0.0,0.75,4494
Matthew Stevens,David Gilbert,5,1394,1539,0.33548208572149285,0.4103545214372688,1039,606,7912,4300,806,468,5585,3005,73,37,479,257,220,128,1107,614,0,3,1.0,0.0,4494
Michael Georgiou,Soheil Vahedi,5,1285,1229,0.5653050064173626,0.5349429451582145,304,144,1844,899,112,40,656,282,70,41,392,192,134,74,385,180,3,0,0.0,1.0,4494
Gao Yang,Dylan Emery,5,1050,1083,0.46139381581175565,0.47938669028555136,28,8,137,52,50,23,259,124,63,23,137,52,112,53,199,93,2,3,1.0,0.4,4494
Scott Donaldson,Dean Young,5,1337,1043,0.8036126269376143,0.6759015277259407,383,204,2481,1261,40,18,187,88,147,67,775,411,84,37,187,88,3,0,0.0,1.0,4494
