player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Wang Zepeng,Robin Otto,7,1102,939,0.7111524094404451,0.6004882745269664,46,24,260,132,28,11,143,60,24,12,74,42,9,1,43,16,4,0,0.0,1.0,2945
Long Zehuang,Adam Edge,7,1082,1038,0.5599145707304132,0.5274723043445937,27,15,148,73,56,23,314,148,74,42,111,62,21,11,102,52,4,2,0.0,0.6666666666666666,2945
Qingtian Yang,Elliott Weston,7,1054,980,0.6000303895586184,0.5461185410457796,10,7,50,31,2,0,11,3,50,31,50,31,11,3,11,3,4,0,0.0,1.0,2945
Daniel Womersley,Florian Nüßle,7,1042,1017,0.534135239137421,0.5156199157230156,36,15,206,94,11,5,56,27,33,20,107,51,30,13,56,27,4,3,0.0,0.5714285714285714,2945
Michael Wild,James Silverwood,7,1163,987,0.726023440718493,0.6082590307465143,318,165,1944,1025,84,26,445,181,14,6,152,74,13,5,73,35,4,1,0.0,0.8,2945
Ronan Whyte,Sam Gates,7,958,985,0.4631419178202212,0.48313140430861523,6,1,27,6,2,0,10,2,8,0,27,6,10,2,10,2,4,2,0.0,0.6666666666666666,2945
Patrick Whelan,Constantin Mateescu,7,1038,939,0.6326419490877371,0.5615610703361955,29,12,150,74,6,1,25,4,23,10,116,64,13,4,25,4,4,0,0.0,1.0,2945
Stuart Watson,Joshua Thomond,7,888,990,0.3635067817280711,0.4365932137378064,48,10,260,95,30,13,165,77,16,8,48,25,18,7,105,48,4,3,0.0,0.5714285714285714,2945
Ka Wai Cheung,Mark Vincent,7,1039,892,0.692311529960642,0.5908547524545943,16,7,91,44,52,16,264,101,30,20,78,41,12,4,75,31,4,0,0.0,1.0,2945
Lucky Vatnani,Zhang Yong,7,1039,1207,0.2830802923189607,0.3965167501352737,85,33,476,210,126,54,758,329,27,17,80,42,18,8,422,193,4,0,0.0,1.0,2945
Soheil Vahedi,Chris Totten,7,1101,1009,0.6236008848905433,0.5572478545985555,50,11,329,123,47,10,294,100,58,21,294,110,12,4,243,79,4,2,0.0,0.6666666666666666,2945
Wayne Townsend,Rebecca Kenna,7,965,972,0.4904306643721704,0.4956251116502266,43,19,272,126,2,0,8,0,15,4,56,18,8,0,8,0,4,2,0.0,0.6666666666666666,2945
Gary Thomson,Aman Goel,7,1086,984,0.6364932182719292,0.5634067862621936,167,86,1191,604,3,1,16,6,35,20,50,28,16,6,16,6,4,1,0.0,0.8,2945
Allan Taylor,Jed Mann,7,1219,960,0.810644856301382,0.6564468724566059,323,152,1928,936,6,1,33,10,58,34,437,203,12,4,33,10,4,0,0.0,1.0,2945
Alex Taubman,Daniel Williams,7,1096,981,0.6530083881296338,0.5713839816769324,171,77,927,426,5,1,26,10,26,13,104,53,13,5,26,10,4,0,0.0,1.0,2945
Tomasz Skalski,Tam Mustafa,7,1041,988,0.5720392978025534,0.5330766223661046,53,22,295,137,58,26,328,152,13,5,20,8,11,3,34,11,4,1,0.0,0.8,2945
Luke Simmonds,William Thomson,7,1191,933,0.8097380368967944,0.6558828412078137,140,76,919,476,9,2,40,11,14,6,176,94,9,1,31,10,4,1,0.0,0.8,2945
Xu Si,James Burrett,7,1187,821,0.8914125527550687,0.7140222267773016,68,22,472,197,39,8,199,60,72,29,358,150,12,4,45,14,4,0,0.0,1.0,2945
Chae Ross,Gary Challis,7,1044,934,0.6466907800352545,0.5683199834782481,19,11,106,55,15,4,75,27,40,22,106,55,8,0,54,19,4,2,0.0,0.6666666666666666,2945
Adrian Rosa,Stephen Groves,7,1170,893,0.8264821963228286,0.6665228332551123,283,156,2197,1130,29,7,153,54,25,14,66,37,13,5,31,12,4,0,0.0,1.0,2945
Lee Richardson,Imran Puri,7,1003,652,0.8819896948101545,0.706303891936407,283,135,2112,1034,66,9,324,73,31,17,31,17,9,1,51,18,4,1,0.0,0.8,2945
Ian Preece,James Welch,7,1198,941,0.8088283859322067,0.655318370173895,231,122,1654,838,5,0,23,3,54,29,269,116,10,2,23,3,4,0,0.0,1.0,2945
George Pragnall,Ka Lam Lau,7,1110,978,0.6741427448520734,0.5817593768418363,58,29,329,161,2,0,10,2,24,14,142,74,10,2,10,2,4,0,0.0,1.0,2945
Andreas Ploner,Keishin Kamihashi,7,1104,1000,0.6390526295107546,0.5646362918030292,75,36,401,194,10,5,51,23,38,20,132,66,37,21,47,23,4,1,0.0,0.8,2945
Luke Pinches,Kreishh Gurbaxani,7,997,1003,0.4917974901893887,0.496250070310918,14,6,78,35,3,1,18,9,28,15,66,30,18,9,18,9,4,1,0.0,0.8,2945
Barry Pinches,Sean McAllister,7,1220,964,0.8079159048674549,0.6547534606063192,760,393,5854,3036,5,0,29,9,102,46,237,128,11,3,29,9,4,2,0.0,0.6666666666666666,2945
Manasawin Phetmalaikul,Ian Brumby,7,957,1085,0.33078006904137963,0.42067574785125056,16,5,86,34,412,211,2997,1514,16,7,59,23,10,2,32,14,4,0,0.0,1.0,2945
Fraser Patrick,Jason Tart,7,1184,971,0.7660354477872332,0.6300660082850182,218,91,1414,648,19,6,99,40,73,32,215,101,15,6,32,14,4,1,0.0,0.8,2945
Riley Parsons,Ivan Kakovskii,7,1043,988,0.5747243219334544,0.5343209436693046,13,5,86,36,9,3,63,23,86,36,86,36,19,8,19,8,4,3,0.0,0.5714285714285714,2945
Andrew Pagett,Fang Xiongman,7,1181,1243,0.41590794122337116,0.46132739479349205,265,121,1732,839,101,48,613,294,43,24,94,56,39,26,355,171,4,3,0.0,0.5714285714285714,2945
Ng On Yee,Shehzad Iqbal,7,989,961,0.5382188233953898,0.5174928576663897,30,12,192,79,12,3,64,25,44,17,136,55,16,7,49,22,4,1,0.0,0.8,2945
Heikki Niva,Simon Blackwell,7,1039,1066,0.4631419178202212,0.48313140430861523,17,8,94,50,19,10,101,54,17,7,94,50,42,25,77,40,4,2,0.0,0.6666666666666666,2945
Ross Muir,Laxman Rawat,7,1194,1056,0.6814665603465866,0.585404569129465,174,64,1145,504,19,9,106,51,17,8,354,150,20,10,63,32,4,1,0.0,0.8,2945
Geng Mingqi,Lee Stephens,7,1086,982,0.6390526295107546,0.5646362918030292,27,14,158,85,6,1,35,14,29,18,110,66,17,8,17,8,4,0,0.0,1.0,2945
Alex Millington,Haydon Pinhey,7,1001,1038,0.44955793756481255,0.4768914745109111,8,3,48,24,19,10,115,59,28,16,48,24,24,12,86,44,4,3,0.0,0.5714285714285714,2945
Andy Milliard,Digvijay Kadian,7,979,985,0.4917974901893887,0.496250070310918,10,3,59,25,2,0,13,5,11,3,59,25,13,5,13,5,4,2,0.0,0.6666666666666666,2945
Ben Mertens,Garry Coulson,7,996,976,0.5273209820427867,0.5124973964842103,10,4,50,21,3,0,17,5,22,7,46,21,10,2,10,2,4,1,0.0,0.8,2945
Aditya Mehta,Luis Vetter,7,1272,988,0.8323923521776074,0.6704011598088686,297,143,2041,1003,5,1,26,10,34,20,298,141,8,0,26,10,4,1,0.0,0.8,2945
Rory McLeod,James Lee,7,1211,989,0.7752232149046754,0.6352948493228071,593,318,4419,2270,2,0,12,4,26,18,491,224,12,4,12,4,4,0,0.0,1.0,2945
Andy Marriott,Owais Ali,7,947,968,0.4713154170628733,0.4868780138177567,30,8,173,70,10,3,49,16,27,15,48,24,24,11,40,15,4,1,0.0,0.8,2945
Bash Maqsood,Dessie Sheehan,7,922,662,0.8115488427624657,0.6570104626734988,29,7,159,59,179,34,1329,480,11,3,52,19,0,0,20,0,4,0,0.0,1.0,2945
Sean Maddocks,Hrithik Jain,7,983,986,0.4958985144028909,0.498125008789013,11,5,61,27,7,2,35,13,10,2,61,27,10,2,10,2,4,1,0.0,0.8,2945
Callum Lloyd,Qiu Yalong,7,1016,996,0.5273209820427867,0.5124973964842103,37,14,194,89,12,5,65,30,36,23,70,41,22,11,22,11,4,3,0.0,0.5714285714285714,2945
David Lilley,Barry Lee,7,1257,969,0.8357070215370299,0.6726070170677604,111,60,683,358,8,2,44,17,64,24,301,150,17,7,17,7,4,1,0.0,0.8,2945
Peifan Lei,Yasir Nadeem,7,1065,957,0.644151517953897,0.5670929049654543,17,7,106,47,4,0,19,3,106,47,106,47,11,3,11,3,4,2,0.0,0.6666666666666666,2945
Gary Lees,Sean O'Sullivan,7,1031,1127,0.3712235715309693,0.44028635073280703,265,141,1916,985,220,87,1377,621,10,2,10,2,24,13,327,127,4,3,0.0,0.5714285714285714,2945
Daegyu Lee,Levi Meiller,7,1041,896,0.6899164671577602,0.5896454785627312,12,7,66,38,8,0,48,5,23,11,66,38,11,3,11,3,4,1,0.0,0.8,2945
Fung Kwok Wai,Stuart Hinton,7,1051,971,0.6079354159352611,0.549833997312478,22,9,144,68,27,13,185,94,12,4,12,4,10,2,10,2,4,0,0.0,1.0,2945
Yu Kiu Chang,Marvin Morgan,7,991,988,0.5041014855971089,0.5018749912109869,5,2,28,11,2,0,12,4,24,11,24,11,12,4,12,4,4,1,0.0,0.8,2945
Stephen Kershaw,Abdul Raheem,7,987,980,0.5095693356278297,0.5043748883497735,191,81,1368,649,2,0,10,2,12,4,48,21,10,2,10,2,4,2,0.0,0.6666666666666666,2945
Jenson Kendrick,Tugba Irten,7,932,959,0.4631419178202212,0.48313140430861523,11,1,60,19,20,8,115,48,10,2,54,17,12,4,43,13,4,0,0.0,1.0,2945
Kuldesh Johal,Leo Fernandez,7,1155,1152,0.5041014855971089,0.5018749912109869,222,125,1451,773,434,256,3261,1738,11,3,124,67,29,17,161,65,4,0,0.0,1.0,2945
Liu Jiaming,Jack Bradford,7,999,978,0.5286845829371267,0.5131219861822433,21,7,118,51,54,18,291,121,16,6,53,27,26,14,91,49,4,2,0.0,0.6666666666666666,2945
Si Jiahui,Jamie Barrett,7,1174,1006,0.7169197076810394,0.6034832498647263,25,14,141,79,96,36,550,226,135,77,135,77,16,6,232,75,4,0,0.0,1.0,2945
Ashley Hugill,Peter Lines,7,1185,1261,0.3973295650806627,0.45264238185691075,125,57,710,335,812,433,5845,3017,22,12,306,136,113,54,512,246,4,3,0.0,0.5714285714285714,2945
Daniel Holoyda,James Height,7,988,929,0.5800831913605062,0.5368082899889803,11,5,59,26,10,2,53,16,16,6,48,23,11,3,53,16,4,3,0.0,0.5714285714285714,2945
Aaron Hill,Neal Jones,7,993,1007,0.48086718764462183,0.4912508931197597,3,1,14,6,143,65,971,460,14,6,14,6,16,8,25,9,4,3,0.0,0.5714285714285714,2945
Thomas Hilborne,Lewis Parnham,7,938,978,0.44549420086403224,0.47502081252106,6,0,29,5,3,1,13,4,9,1,9,1,13,4,13,4,4,2,0.0,0.6666666666666666,2945
Andy Hicks,Zsolt Fenyvesi,7,1266,971,0.8413983490710147,0.6764489333484797,645,349,5116,2653,3,0,17,5,99,48,302,161,12,4,17,5,4,0,0.0,1.0,2945
Louis Heathcote,Reanne Evans,7,1221,1060,0.7088291167182063,0.5992881635083561,63,31,366,185,150,55,857,361,131,71,221,123,44,14,167,71,4,1,0.0,0.8,2945
Jack Harris,Joshua Cooper,7,987,992,0.493164418520332,0.4968750406894683,3,1,14,5,35,14,184,83,14,5,14,5,16,8,80,38,4,2,0.0,0.6666666666666666,2945
Ben Hancorn,John Welsh,7,1055,1024,0.5422981239384312,0.519365308229932,33,15,206,102,57,24,342,165,16,8,66,37,29,16,29,16,4,1,0.0,0.8,2945
Steven Hallworth,Omar Alajlani,7,1218,971,0.7995764997363425,0.6496497492904088,111,47,649,302,8,3,39,14,28,14,157,92,14,4,39,14,4,0,0.0,1.0,2945
Matthew Glasby,Danny Brindle,7,975,895,0.6079354159352611,0.549833997312478,54,22,289,128,23,4,127,42,27,15,114,57,26,13,48,21,4,0,0.0,1.0,2945
Ben Fortey,Jamie Cope,7,971,1250,0.17181496395639023,0.3323667428828845,24,7,128,53,574,308,3862,1974,10,2,54,26,0,0,218,123,4,2,0.0,0.6666666666666666,2945
Harry Farrell,Sergey Isaenko,7,993,960,0.5450150538752272,0.5206133097144486,2,0,12,4,15,5,77,30,12,4,12,4,10,2,54,22,4,0,0.0,1.0,2945
Ahmed Elsayed,Shubham Arora,7,951,980,0.46042091137016095,0.4818829349568186,5,0,23,3,2,0,9,1,8,0,23,3,9,1,9,1,4,1,0.0,0.8,2945
Callum Downing,Leonard Degriffa,7,1069,983,0.6157933128709394,0.5535439031511183,42,21,231,115,2,0,11,3,34,20,34,20,11,3,11,3,4,2,0.0,0.6666666666666666,2945
Andrew Doherty,Mark Ganderton,7,1035,761,0.8239065989069515,0.6648537304059736,9,6,46,27,79,18,540,190,37,22,37,22,11,3,25,5,4,3,0.0,0.5714285714285714,2945
Himanshu Dinesh Jain,Billy Ginn,7,1042,918,0.6642657784879786,0.5768852611320463,13,8,70,38,8,1,36,7,26,15,70,38,8,0,36,7,4,2,0.0,0.6666666666666666,2945
Umut Dikme,Dean Young,7,1045,1006,0.5531518743848329,0.5243557087682073,16,8,83,43,6,4,39,20,11,3,83,43,39,20,39,20,4,3,0.0,0.5714285714285714,2945
Peter Devlin,Amir Sarkhosh,7,988,1104,0.34573343118721134,0.42800386706848137,39,16,199,88,15,7,95,50,16,5,107,56,32,22,32,22,4,2,0.0,0.6666666666666666,2945
Simon Dent,Lee Shanker,7,973,879,0.6261916833783177,0.5584811124381613,42,17,219,99,39,9,203,67,15,5,91,39,11,3,46,15,4,3,0.0,0.5714285714285714,2945
Paul Davison,Tom Pendlebury,7,1198,978,0.7732004785001367,0.6341355910108007,692,356,4811,2426,2,0,9,1,34,20,372,165,9,1,9,1,4,0,0.0,1.0,2945
Ryan Davies,Kengo Suzuki,7,1036,978,0.578744911388209,0.5361866202317948,12,7,60,31,2,0,10,2,40,18,60,31,10,2,10,2,4,0,0.0,1.0,2945
